date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-02-27,09:35,BUY,Judas Swing Model,A+,86,25383.4,25346.38,25457.44,25346.38,37.02000000000044,False,2,50,25346.38,SL,-37.02000000000044,-1851.0,09:45
2026-02-27,14:45,BUY,2022 Model,A,78,25300.75,25267.49,25367.27,25267.49,33.2599999999984,False,3,50,25267.49,SL,-33.2599999999984,-1663.0,15:00
2026-03-02,09:20,SELL,Judas Swing Model,A+,91,24896.5,24968.39,24752.72,24968.39,71.88999999999942,False,2,50,24968.39,SL,-71.88999999999942,-3594.5,09:30
2026-03-04,09:25,BUY,Judas Swing Model,A+,91,24342.85,24303.94,24420.67,24342.85,38.909999999999854,True,4,50,24365.25,NEAR_TP,22.400000000001455,1120.0,09:45
2026-03-05,09:40,BUY,Judas Swing Model,A,76,24596.2,24523.25,24742.1,24596.2,72.95000000000073,True,23,50,24596.2,BREAKEVEN,0.0,0.0,11:35
2026-03-06,09:20,BUY,Judas Swing Model,A,76,24647.6,24579.09,24784.62,24579.09,68.5099999999984,False,18,50,24579.09,SL,-68.5099999999984,-3425.5,10:50
2026-03-09,09:30,BUY,Judas Swing Model,A,76,23764.85,23686.31,23921.93,23764.85,78.53999999999724,True,26,50,23921.93,TP,157.08000000000175,7854.0,11:40
2026-03-10,09:20,BUY,Judas Swing Model,A+,91,24152.6,24130.5,24196.8,24130.5,22.099999999998545,False,1,50,24130.5,SL,-22.099999999998545,-1105.0,09:25
2026-03-11,09:20,SELL,Judas Swing Model,A,76,24242.5,24304.42,24118.66,24242.5,61.919999999998254,True,8,50,24160.6,NEAR_TP,81.90000000000146,4095.0,10:00
2026-03-13,09:20,BUY,Judas Swing Model,A+,86,23431.6,23409.95,23474.9,23409.95,21.649999999997817,False,1,50,23474.9,TP,43.30000000000291,2165.0,09:25
2026-03-16,09:25,BUY,Turtle Soup Model (PDL),A+,87,23157.75,23104.63,23263.99,23157.75,53.11999999999898,True,2,50,23263.99,TP,106.2400000000016,5312.0,09:35
2026-03-16,09:35,SELL,Judas Swing Model,A+,91,23242.75,23276.98,23174.29,23276.98,34.22999999999956,False,1,50,23276.98,SL,-34.22999999999956,-1711.5,09:40
2026-03-16,14:50,SELL,Turtle Soup Model (PDH),A+,87,23458.15,23509.46,23355.53,23458.15,51.30999999999767,True,4,50,23458.15,BREAKEVEN,0.0,0.0,15:10
2026-03-17,09:25,BUY,Inverse FVG Model,A,75,23373.15,23301.56,23516.33,23373.15,71.59000000000015,True,7,50,23516.33,TP,143.1800000000003,7159.0,10:00
2026-03-18,09:20,SELL,Judas Swing Model,A+,88,23676.15,23746.1,23536.25,23746.1,69.94999999999709,False,6,50,23746.1,SL,-69.94999999999709,-3497.5,09:50
2026-03-19,14:20,BUY,Turtle Soup Model (PWL),A+,87,23127.9,23105.12,23173.46,23105.12,22.780000000002474,False,1,50,23105.12,SL,-22.780000000002474,-1139.0,14:25
2026-03-20,09:20,SELL,Judas Swing Model,A+,88,23254.45,23311.94,23139.47,23311.94,57.48999999999796,False,2,50,23311.94,SL,-57.48999999999796,-2874.5,09:30
